interfaceFqn	status	reason	path
org.apache.hadoop.hbase.regionserver.RegionJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionJVMInterface.java
org.apache.hadoop.hbase.master.cleaner.CleanerChoreJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/cleaner/CleanerChoreJVMInterface.java
org.apache.hadoop.hbase.nio.SingleByteBuffJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/nio/SingleByteBuffJVMInterface.java
org.apache.hadoop.hbase.monitoring.TaskGroupJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/TaskGroupJVMInterface.java
org.apache.hadoop.hbase.client.OperationJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/OperationJVMInterface.java
org.apache.hadoop.hbase.regionserver.MemStoreSnapshotJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreSnapshotJVMInterface.java
org.apache.hadoop.hbase.procedure2.ProcedureSchedulerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureSchedulerJVMInterface.java
org.apache.hadoop.hbase.regionserver.TimeRangeTrackerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/TimeRangeTrackerJVMInterface.java
org.apache.hadoop.hbase.io.hfile.ReaderContextJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/ReaderContextJVMInterface.java
org.apache.hadoop.hbase.regionserver.StoreJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreJVMInterface.java
org.apache.hadoop.hbase.master.HMasterJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/HMasterJVMInterface.java
org.apache.hadoop.hbase.nio.ByteBuffJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/nio/ByteBuffJVMInterface.java
org.apache.hadoop.hbase.client.RegionInfoJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/RegionInfoJVMInterface.java
org.apache.hadoop.hbase.CacheEvictionStatsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/CacheEvictionStatsJVMInterface.java
org.apache.hadoop.hbase.security.visibility.AuthorizationsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/visibility/AuthorizationsJVMInterface.java
org.apache.hadoop.hbase.procedure2.ProcedureDequeJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureDequeJVMInterface.java
org.apache.hadoop.hbase.procedure2.ProcedureExecutorJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureExecutorJVMInterface.java
org.apache.hadoop.hbase.regionserver.HStoreJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStoreJVMInterface.java
org.apache.hadoop.hbase.client.MutationJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/MutationJVMInterface.java
org.apache.hadoop.hbase.quotas.QuotaSettingsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/quotas/QuotaSettingsJVMInterface.java
org.apache.hadoop.hbase.namequeues.request.NamedQueueGetRequestJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/namequeues/request/NamedQueueGetRequestJVMInterface.java
org.apache.hadoop.hbase.monitoring.MonitoredTaskJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/MonitoredTaskJVMInterface.java
org.apache.hadoop.hbase.regionserver.StoreFileJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFileJVMInterface.java
org.apache.hadoop.hbase.ServerNameJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/ServerNameJVMInterface.java
