interfaceFqn	originalClassFile	outcome	bridgesAdded	reason
org.apache.hadoop.hbase.master.hbck.HbckReportJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/hbck/HbckReport.java	implemented	0	
org.apache.hadoop.hbase.master.RackManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/RackManager.java	implemented	0	
org.apache.hadoop.hbase.master.RegionPlanJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/RegionPlan.java	implemented	0	
org.apache.hadoop.hbase.master.TableStateManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/TableStateManager.java	implemented	0	
org.apache.hadoop.hbase.master.MasterFileSystemJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterFileSystem.java	implemented	0	
org.apache.hadoop.hbase.master.locking.LockManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/locking/LockManager.java	implemented	0	
org.apache.hadoop.hbase.master.locking.LockProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/locking/LockProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.assignment.SplitTableRegionProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/SplitTableRegionProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.assignment.MergeTableRegionsProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/MergeTableRegionsProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.assignment.RegionStateNodeJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionStateNode.java	implemented	0	
org.apache.hadoop.hbase.master.assignment.RegionStateStoreJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionStateStore.java	implemented	0	
org.apache.hadoop.hbase.master.assignment.ServerStateNodeJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/ServerStateNode.java	implemented	0	
org.apache.hadoop.hbase.master.assignment.TransitRegionStateProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/TransitRegionStateProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.assignment.RegionStatesJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionStates.java	implemented	0	
